state_fips,county_fips,total_emp,manufacturing_emp,prop_manuf_loss,prop_total_loss
12,049,4208,1,0,0
12,051,5673,1,0,0
12,053,28374,1,0,0
12,055,19112,1,0,0
12,057,490900,20869,9.104413244525372e-4,3.8704420452230595e-5
12,059,2030,1,0,0
12,061,37847,1,0,0
12,063,8982,1,0,0
12,065,1789,1,0,0
12,067,753,1,0,0
12,071,169998,4164,0.0036023054755043226,8.823633219214344e-5
12,075,5456,1,0,0
12,077,775,1,0,0
12,079,2819,1,0,0
12,081,81154,8065,0.001611903285802852,1.6018926978337482e-4
12,083,76897,6235,0.04603047313552526,0.0037322652379156536
12,085,48466,2444,0.010229132569558102,5.158255271736887e-4
12,086,808269,34388,0.07214726067232756,0.0030695226465446528
12,087,25940,1,0,0
12,089,14525,1,0,0
12,091,57415,1,0,0
12,093,6762,1,0,0
12,095,592186,26616,0.0031935677787796814,1.4353598362676592e-4
12,097,60610,1,0,0
12,099,436599,11166,0.035643919039942684,9.115916435905717e-4
12,101,77194,2737,0.007307270734380708,2.59087493846672e-4
12,103,354914,28686,0.04123962908735969,0.0033332018460810226
12,105,163343,15410,0.016482803374432187,0.001555010009611676
12,109,44374,1224,0.16748366013071894,0.0046198224185333755
12,113,20786,1,0,0
12,117,148232,6282,0.06924546322827126,0.002934589022613201
12,119,14695,751,0.018641810918774968,9.527050017012589e-4
12,121,8352,1,0,0
12,123,4935,1,0,0
12,125,1728,1,0,0
12,127,129006,1,0,0
12,129,3179,1,0,0
12,131,15377,1,0,0
12,133,3460,388,1,0.14421965317919075
13,001,5360,1,0,0
13,003,1278,1,0,0
13,005,2704,1,0,0
13,007,251,1,0,0
13,009,13341,1,0,0
13,011,3489,1,0,0
13,013,12167,1,0,0
13,015,27795,7790,0.17329910141206675,0.048569886670264434
13,017,5431,1748,0.06178489702517163,0.019885840545019334
13,019,3743,1953,0.1300563236047107,0.06786000534330751
13,023,2263,750,1,0.45735749005744586
13,025,1297,1,0,0
13,027,1949,1,0,0
13,029,5710,1,0,0
13,033,4657,728,0.47802197802197804,0.07472621859566245
13,035,4041,1,0,0
13,037,642,1,0,0
13,039,8658,1,0,0
13,043,2159,1,0,0
13,045,30322,1,0,0
13,047,13137,1,0,0
13,049,1716,1,0,0
13,051,114769,1,0,0
13,053,644,1,0,0
13,055,4634,1,0,0
13,057,39429,1,0,0
13,059,44455,6121,0.04982845940205849,0.006860870543245979
13,061,375,1,0,0
13,063,71503,4392,0.01912568306010929,0.0011747758835293624
13,065,1686,1,0,0
13,067,303501,19128,0.0013069845253032204,8.237205149241683e-5
13,069,12779,1,0,0
13,071,11676,3426,0.07647402218330414,0.022439191503939707
13,073,26745,3184,0.09265075376884423,0.011030099083940923
13,075,3245,886,0.19751693002257337,0.053929121725731895
13,077,28281,4464,0.006048387096774193,9.547045719741168e-4
13,079,507,1,0,0
13,081,6659,1,0,0
13,083,2154,1,0,0
13,085,5645,1,0,0
13,087,7837,1848,0.22564935064935066,0.05320913614903662
13,091,3987,1,0,0
13,093,2320,1101,0.08174386920980926,0.03879310344827586
