state_cens,state,state2,empl,member,year
46,Nebraska,NE,651780.8866666672,72945.12666666669,1986
88,Nevada,NV,443183.6899999996,82877.48749999999,1986
12,New Hampshire,NH,485181.9041666673,53437.50500000002,1986
22,New Jersey,NJ,3362819.0150000015,783465.7625000018,1986
85,New Mexico,NM,514930.3700000002,48865.88083333333,1986
21,New York,NY,7061448.25166667,2107307.0675000045,1986
56,North Carolina,NC,2691168.9549999936,151562.6341666667,1986
44,North Dakota,ND,243061.1158333337,27793.848333333335,1986
31,Ohio,OH,4347376.16833333,975275.9933333338,1986
73,Oklahoma,OK,1228741.6316666673,144954.38250000004,1986
92,Oregon,OR,1039266.351666665,205336.54166666677,1986
23,Pennsylvania,PA,4676590.199166655,1026556.9275000008,1986
15,Rhode Island,RI,443427.4666666664,91848.62999999999,1986
57,South Carolina,SC,1365185.6708333325,78994.89,1986
45,South Dakota,SD,253152.10166666753,22669.18333333333,1986
62,Tennessee,TN,1868094.5408333312,256607.0775,1986
74,Texas,TX,6538764.389166677,499368.8858333327,1986
87,Utah,UT,618783.8558333324,65880.74583333333,1986
13,Vermont,VT,231915.58749999967,25624.601666666673,1986
54,Virginia,VA,2487844.620833334,221890.86833333352,1986
91,Washington,WA,1710124.7233333369,455193.2283333333,1986
55,West Virginia,WV,590353.5333333338,121153.59250000007,1986
35,Wisconsin,WI,1951036.3091666678,443706.16750000004,1986
83,Wyoming,WY,194364.24583333335,22797.069166666657,1986
63,Alabama,AL,1549335.493333334,215846.0483333334,1987
94,Alaska,AK,188217.74083333396,41748.90000000004,1987
86,Arizona,AZ,1338179.748333333,82484.49500000001,1987
71,Arkansas,AR,853398.0908333334,94081.2175,1987
93,California,CA,11259918.77083336,2189638.652499997,1987
84,Colorado,CO,1365696.1675000004,157426.02583333317,1987
16,Connecticut,CT,1520879.877499998,281733.75499999983,1987
51,Delaware,DE,295972.6416666668,49684.9641666667,1987
53,District of Columbia,DC,294439.57666666666,42044.21666666662,1987
59,Florida,FL,4829981.344166677,361484.9641666665,1987
58,Georgia,GA,2663950.195000002,253388.59833333344,1987
95,Hawaii,HI,426628.53333333315,126585.88249999993,1987
82,Idaho,ID,347236.24916666595,45696.25833333333,1987
33,Illinois,IL,4770679.153333316,1065649.3625000007,1987
32,Indiana,IN,2261971.6774999984,481361.7674999999,1987
42,Iowa,IA,1099744.0166666652,161842.365,1987
47,Kansas,KS,1005113.1891666658,123940.44166666664,1987
61,Kentucky,KY,1326566.182500003,214276.87416666656,1987
72,Louisiana,LA,1554291.2516666648,130259.94666666666,1987
11,Maine,ME,468975.5491666654,89607.6975,1987
52,Maryland,MD,2125362.332500003,332766.70999999985,1987
14,Massachusetts,MA,2697874.5375000094,478665.3691666666,1987
34,Michigan,MI,3753480.227500001,997402.9424999984,1987
41,Minnesota,MN,1785715.060000003,411936.1233333337,1987
64,Mississippi,MS,945687.1924999998,83956.8258333334,1987
43,Missouri,MO,2118292.5316666714,374202.57416666707,1987
81,Montana,MT,287822.13000000024,50953.01833333328,1987
46,Nebraska,NE,627546.8958333334,70073.30583333338,1987
88,Nevada,NV,468625.39666666626,85852.48999999993,1987
12,New Hampshire,NH,507780.0400000002,50019.32083333335,1987
22,New Jersey,NJ,3432437.9233333385,824282.5958333351,1987
85,New Mexico,NM,510763.30249999923,43965.4325,1987
21,New York,NY,7212717.814999963,2124098.769166672,1987
56,North Carolina,NC,2810884.10833334,156281.37000000002,1987
44,North Dakota,ND,237556.12333333344,29317.454166666674,1987
31,Ohio,OH,4418396.100833319,1007884.2416666665,1987
73,Oklahoma,OK,1226450.5383333329,130838.03333333333,1987
