year,month,day,politician,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo
2023,10,25,Joe Biden,40.409228004691535,44.64664662279079,36.17180938659228,53.71305578753293,57.85949883231775,49.56661274274811
2023,10,24,Joe Biden,40.20182292637641,44.440600580054834,35.96304527269798,53.52458809161084,57.65720590467353,49.39197027854814
2023,10,23,Joe Biden,40.6893537435242,44.93675119380167,36.44195629324673,53.78672712042075,57.95102708543319,49.62242715540831
2023,10,22,Joe Biden,40.70616188790647,44.95260236918171,36.459721406631225,53.76066247842312,57.92730891006618,49.59401604678006
2023,10,21,Joe Biden,40.52578332835958,44.77848090941794,36.273085747301224,53.68583692887236,57.84722133590862,49.5244525218361
2023,10,20,Joe Biden,40.4203730956095,44.67835607794136,36.16239011327764,53.92753674174551,58.08491738848755,49.77015609500348
2023,10,19,Joe Biden,40.20951993224312,44.46759141136923,35.95144845311701,53.82708932817048,57.98661645887953,49.66756219746143
2023,10,18,Joe Biden,39.96186105397049,44.21656172967894,35.70716037826203,54.17403657681717,58.31846470639486,50.02960844723948
2023,10,17,Joe Biden,40.23328044867745,44.47893065813673,35.98763023921816,53.90784985898856,58.03978532813871,49.77591438983841
2023,10,16,Joe Biden,39.57558805862563,43.81226957747427,35.338906539776985,53.97161137705174,58.11058766408999,49.83263509001348
2023,10,15,Joe Biden,39.57546250633117,43.812144037686494,35.33878097497585,53.97200665286434,58.11098293974288,49.83303036598579
2023,10,14,Joe Biden,39.44959241353785,43.69619976965586,35.20298505741984,54.04587938686965,58.20631451133816,49.885444262401144
2023,10,13,Joe Biden,39.770379180913494,44.02654411006743,35.51421425175956,53.646013413004226,57.77956270261785,49.5124641233906
2023,10,12,Joe Biden,39.48687047004415,43.742188759444915,35.23155218064339,53.93478244577897,58.063775480466845,49.8057894110911
2023,10,11,Joe Biden,39.71943916338919,43.981815289333355,35.457063037445025,53.700977152624766,57.836574124270335,49.5653801809792
2023,10,10,Joe Biden,39.775382764776374,44.019899593928,35.530865935624746,53.72319111449282,57.863457138076846,49.582925090908795
2023,10,9,Joe Biden,39.788307677213275,44.14059540052964,35.43601995389691,54.28240434870224,58.55846442968676,50.00634426771773
2023,10,8,Joe Biden,39.61073145521176,43.7635757638141,35.45788714660941,54.30554421401301,58.35563682894788,50.25545159907814
2023,10,7,Joe Biden,39.59343136635992,43.74656515618421,35.44029757653562,54.30794043438374,58.358101647225176,50.2577792215423
2023,10,6,Joe Biden,39.10532663947928,43.95073783763154,34.25991544132702,54.18305700371249,59.0306412787921,49.33547272863288
2023,10,5,Joe Biden,39.9980768405086,44.530233145795606,35.4659205352216,55.09887610021033,59.66686476525028,50.530887435170385
2023,10,4,Joe Biden,40.31937577689923,44.84546852164382,35.79328303215464,54.75987158687556,59.32570029042678,50.19404288332434
2023,10,3,Joe Biden,39.78656664463771,44.313473637400975,35.25965965187446,55.10995002540293,59.6805086377551,50.53939141305076
2023,10,2,Joe Biden,39.83589656167757,44.36319302589017,35.308600097464975,54.92849994826252,59.50320384180236,50.35379605472268
2023,10,1,Joe Biden,40.88250819082575,45.407632004674994,36.35738437697651,53.79284203608469,58.34411364425823,49.24157042791116
2023,9,30,Joe Biden,40.86501569602307,45.39013950987231,36.33989188217383,53.83640802716357,58.38767963533711,49.285136418990035
2023,9,29,Joe Biden,39.65003524066197,44.49035005097239,34.80972043035154,53.43383480143562,58.2681688549264,48.599500747944845
2023,9,28,Joe Biden,40.06660853466843,44.90469678612783,35.228520283209036,52.94902016784357,57.77579348224846,48.12224685343868
2023,9,27,Joe Biden,40.16302646209272,45.001042025143065,35.32501089904238,53.02632788071738,57.848333547364305,48.20432221407046
2023,9,26,Joe Biden,40.049751141076406,44.88618197224255,35.213320309910266,53.13767250002318,57.95636976709915,48.31897523294721
2023,9,25,Joe Biden,40.10134941939699,44.94185129513794,35.26084754365604,53.26817000199262,58.083558937797335,48.45278106618791
2023,9,24,Joe Biden,40.31974179026316,45.16272814565821,35.47675543486811,53.24834423539792,58.06249442905207,48.43419404174376
2023,9,23,Joe Biden,40.54628542447555,45.38061594499522,35.71195490395589,53.3784233668529,58.19687583151561,48.55997090219019
2023,9,22,Joe Biden,40.45124741906968,45.288357929796994,35.61413690834237,53.26565414319049,58.09002856151486,48.441279724866114
2023,9,21,Joe Biden,40.45191440649804,45.289446384361554,35.61438242863453,53.26651550481142,58.08274984496271,48.45028116466013
2023,9,20,Joe Biden,40.453218860869086,45.291857387036266,35.614580334701905,53.26475636090598,58.08534665027066,48.4441660715413
2023,9,19,Joe Biden,40.35734802659248,45.18992352547656,35.52477252770839,53.22463228181121,58.04240749365357,48.40685706996885
2023,9,18,Joe Biden,40.382799270987874,45.21703570965266,35.548562832323086,52.661531589492014,57.47819084770513,47.8448723312789
2023,9,17,Joe Biden,39.876059686935726,44.708108218722614,35.04401115514884,53.37978920883304,58.19431147695107,48.565266940715006
